Date,Store ID,Product ID,Category,Inventory Level,Units Sold,Units Ordered,Price,Seasonality
01-01-2022,S001,P0001,Groceries,231,127,55,33.5,Autumn
01-01-2022,S001,P0002,Toys,204,150,66,63.01,Autumn
01-01-2022,S001,P0003,Toys,102,65,51,27.99,Summer
01-01-2022,S001,P0004,Toys,469,61,164,32.72,Autumn
01-01-2022,S001,P0005,Electronics,166,14,135,73.64,Summer
01-01-2022,S001,P0006,Groceries,138,128,102,76.83,Winter
01-01-2022,S001,P0007,Furniture,359,97,167,34.16,Winter
01-01-2022,S001,P0008,Clothing,380,312,54,97.99,Spring
01-01-2022,S001,P0009,Electronics,183,175,135,20.74,Autumn
01-01-2022,S001,P0010,Toys,108,28,196,59.99,Winter
01-01-2022,S001,P0011,Furniture,258,150,153,58.53,Spring
01-01-2022,S001,P0012,Clothing,66,24,70,58.25,Spring
01-01-2022,S001,P0013,Toys,96,42,85,43.6,Spring
01-01-2022,S001,P0014,Clothing,193,12,187,78.11,Spring
01-01-2022,S001,P0015,Clothing,379,369,154,92.99,Winter
01-01-2022,S001,P0016,Electronics,363,255,69,21.9,Autumn
01-01-2022,S001,P0017,Toys,318,246,177,21.07,Winter
01-01-2022,S001,P0018,Clothing,241,151,47,19.57,Autumn
01-01-2022,S001,P0019,Clothing,352,257,186,73.28,Winter
01-01-2022,S001,P0020,Toys,274,99,166,30.24,Spring
01-01-2022,S002,P0001,Groceries,343,104,144,32.8,Spring
01-01-2022,S002,P0002,Clothing,373,141,151,46.16,Winter
01-01-2022,S002,P0003,Furniture,445,182,119,20.46,Spring
01-01-2022,S002,P0004,Toys,191,63,115,26.19,Autumn
01-01-2022,S002,P0005,Toys,281,156,25,83.29,Autumn
01-01-2022,S002,P0006,Furniture,492,250,168,85.59,Winter
01-01-2022,S002,P0007,Groceries,460,393,70,91.13,Summer
01-01-2022,S002,P0008,Electronics,304,29,99,66.96,Summer
01-01-2022,S002,P0009,Clothing,113,9,84,81.29,Winter
01-01-2022,S002,P0010,Electronics,157,126,181,60.84,Winter
01-01-2022,S002,P0011,Groceries,67,13,33,34.62,Autumn
01-01-2022,S002,P0012,Groceries,281,25,136,19.56,Winter
01-01-2022,S002,P0013,Clothing,389,283,177,57.78,Spring
01-01-2022,S002,P0014,Electronics,465,359,77,91.28,Summer
01-01-2022,S002,P0015,Toys,197,129,94,59.9,Winter
01-01-2022,S002,P0016,Toys,242,63,85,45.65,Spring
01-01-2022,S002,P0017,Groceries,398,373,92,11.71,Winter
01-01-2022,S002,P0018,Groceries,234,160,140,58.84,Summer
01-01-2022,S002,P0019,Toys,67,15,186,84.99,Winter
01-01-2022,S002,P0020,Toys,221,101,38,87.1,Spring
01-01-2022,S003,P0001,Toys,241,147,180,67.21,Summer
01-01-2022,S003,P0002,Electronics,115,4,169,28.2,Spring
01-01-2022,S003,P0003,Groceries,375,77,145,56.16,Spring
01-01-2022,S003,P0004,Toys,153,31,145,89.53,Winter
01-01-2022,S003,P0005,Clothing,438,325,20,97.95,Winter
01-01-2022,S003,P0006,Groceries,456,163,22,76.37,Summer
01-01-2022,S003,P0007,Electronics,189,34,107,86.99,Summer
01-01-2022,S003,P0008,Toys,223,47,107,66.53,Spring
01-01-2022,S003,P0009,Groceries,381,15,184,74.86,Winter
01-01-2022,S003,P0010,Groceries,166,126,124,97.09,Summer
01-01-2022,S003,P0011,Toys,292,232,155,56.19,Winter
01-01-2022,S003,P0012,Electronics,311,175,55,90.38,Summer
01-01-2022,S003,P0013,Furniture,51,17,172,73.98,Summer
01-01-2022,S003,P0014,Electronics,398,369,26,79.03,Spring
01-01-2022,S003,P0015,Clothing,445,260,24,27.72,Autumn
01-01-2022,S003,P0016,Groceries,487,347,93,98.18,Winter
01-01-2022,S003,P0017,Clothing,429,150,168,27.1,Spring
01-01-2022,S003,P0018,Toys,204,70,170,97.08,Winter
01-01-2022,S003,P0019,Clothing,330,249,37,26.71,Summer
01-01-2022,S003,P0020,Electronics,431,370,99,95.85,Spring
01-01-2022,S004,P0001,Toys,477,271,66,15.62,Winter
01-01-2022,S004,P0002,Clothing,462,180,183,41.13,Autumn
01-01-2022,S004,P0003,Clothing,446,344,27,89.32,Autumn
01-01-2022,S004,P0004,Groceries,437,0,160,87.23,Spring
01-01-2022,S004,P0005,Groceries,397,200,172,81.72,Spring
01-01-2022,S004,P0006,Electronics,470,382,195,41.35,Summer
01-01-2022,S004,P0007,Electronics,264,190,139,67.26,Summer
01-01-2022,S004,P0008,Furniture,250,51,137,85.88,Winter
01-01-2022,S004,P0009,Furniture,63,40,73,59.23,Summer
01-01-2022,S004,P0010,Groceries,447,104,96,33.48,Summer
01-01-2022,S004,P0011,Electronics,205,46,27,54.84,Spring
01-01-2022,S004,P0012,Electronics,349,9,165,14.25,Spring
01-01-2022,S004,P0013,Furniture,191,56,65,61.81,Autumn
01-01-2022,S004,P0014,Electronics,406,63,139,66.94,Winter
01-01-2022,S004,P0015,Clothing,228,181,127,60.54,Autumn
01-01-2022,S004,P0016,Groceries,263,94,24,94.26,Summer
01-01-2022,S004,P0017,Electronics,203,46,75,25.55,Winter
01-01-2022,S004,P0018,Groceries,143,8,27,16.73,Spring
01-01-2022,S004,P0019,Groceries,359,172,125,71.2,Spring
01-01-2022,S004,P0020,Clothing,211,68,37,11.5,Winter
01-01-2022,S005,P0001,Toys,111,77,60,70.33,Winter
01-01-2022,S005,P0002,Clothing,415,298,107,57.15,Autumn
01-01-2022,S005,P0003,Electronics,384,64,26,36.17,Spring
01-01-2022,S005,P0004,Furniture,436,300,174,50.77,Spring
01-01-2022,S005,P0005,Clothing,180,21,47,92.86,Winter
01-01-2022,S005,P0006,Groceries,185,176,163,60.76,Summer
01-01-2022,S005,P0007,Clothing,292,131,140,46.47,Summer
01-01-2022,S005,P0008,Toys,478,317,197,34.08,Winter
01-01-2022,S005,P0009,Groceries,182,97,27,87.81,Spring
01-01-2022,S005,P0010,Clothing,87,8,141,37.04,Summer
01-01-2022,S005,P0011,Groceries,427,104,128,54.12,Summer
01-01-2022,S005,P0012,Electronics,245,87,188,67.64,Summer
01-01-2022,S005,P0013,Furniture,317,238,95,82.18,Summer
01-01-2022,S005,P0014,Electronics,325,171,43,42.62,Autumn
01-01-2022,S005,P0015,Furniture,411,250,119,11.54,Spring
01-01-2022,S005,P0016,Clothing,71,11,32,16.3,Winter
01-01-2022,S005,P0017,Electronics,388,371,98,98.31,Spring
01-01-2022,S005,P0018,Furniture,161,107,66,48.96,Spring
01-01-2022,S005,P0019,Groceries,235,106,124,88.22,Spring
01-01-2022,S005,P0020,Electronics,108,101,52,11.04,Autumn
02-01-2022,S001,P0001,Groceries,116,81,104,27.95,Spring
02-01-2022,S001,P0002,Clothing,416,163,79,19.78,Spring
02-01-2022,S001,P0003,Clothing,488,464,163,70.99,Summer
02-01-2022,S001,P0004,Groceries,248,116,107,49.56,Summer
02-01-2022,S001,P0005,Electronics,238,200,40,23.76,Summer
02-01-2022,S001,P0006,Furniture,471,58,32,47.56,Summer
02-01-2022,S001,P0007,Electronics,178,56,149,17.1,Autumn
02-01-2022,S001,P0008,Clothing,92,74,121,58.89,Autumn
02-01-2022,S001,P0009,Toys,99,54,182,99.76,Spring
02-01-2022,S001,P0010,Clothing,171,39,163,11.44,Summer
02-01-2022,S001,P0011,Furniture,215,12,173,53.84,Spring
02-01-2022,S001,P0012,Furniture,281,56,187,57.84,Summer
02-01-2022,S001,P0013,Toys,455,31,124,35.51,Autumn
02-01-2022,S001,P0014,Electronics,84,25,20,31.41,Spring
02-01-2022,S001,P0015,Electronics,246,198,67,28.06,Winter
02-01-2022,S001,P0016,Electronics,399,77,147,35.67,Summer
02-01-2022,S001,P0017,Furniture,242,165,105,28.18,Autumn
02-01-2022,S001,P0018,Toys,478,42,168,74.42,Summer
02-01-2022,S001,P0019,Furniture,156,8,67,91.95,Spring
02-01-2022,S001,P0020,Electronics,221,174,168,97.88,Autumn
02-01-2022,S002,P0001,Electronics,402,343,141,66.57,Summer
02-01-2022,S002,P0002,Furniture,132,71,60,90.36,Winter
02-01-2022,S002,P0003,Groceries,218,157,31,92.24,Autumn
02-01-2022,S002,P0004,Groceries,131,88,109,68.71,Spring
02-01-2022,S002,P0005,Groceries,93,64,128,87.22,Spring
02-01-2022,S002,P0006,Groceries,344,273,154,79.38,Autumn
02-01-2022,S002,P0007,Groceries,340,247,148,17.41,Summer
02-01-2022,S002,P0008,Electronics,241,42,187,14.8,Spring
02-01-2022,S002,P0009,Electronics,296,197,157,30.5,Spring
02-01-2022,S002,P0010,Groceries,472,374,65,27.84,Spring
02-01-2022,S002,P0011,Furniture,308,154,22,88.62,Winter
02-01-2022,S002,P0012,Toys,434,236,30,82.35,Autumn
02-01-2022,S002,P0013,Toys,287,278,92,92.57,Summer
02-01-2022,S002,P0014,Furniture,190,27,134,94.38,Autumn
02-01-2022,S002,P0015,Toys,353,106,191,70.59,Winter
02-01-2022,S002,P0016,Toys,210,154,70,63.13,Autumn
02-01-2022,S002,P0017,Clothing,193,176,38,46.04,Autumn
02-01-2022,S002,P0018,Groceries,124,124,46,21.07,Autumn
02-01-2022,S002,P0019,Toys,492,479,132,79.11,Winter
02-01-2022,S002,P0020,Clothing,222,78,42,64.99,Summer
02-01-2022,S003,P0001,Toys,277,114,40,73.48,Autumn
02-01-2022,S003,P0002,Groceries,175,2,140,87.5,Autumn
02-01-2022,S003,P0003,Toys,157,7,187,88.68,Autumn
02-01-2022,S003,P0004,Furniture,120,54,154,82.36,Autumn
02-01-2022,S003,P0005,Furniture,375,282,61,38.56,Winter
02-01-2022,S003,P0006,Groceries,302,93,33,97.74,Winter
02-01-2022,S003,P0007,Electronics,375,85,40,37.68,Autumn
02-01-2022,S003,P0008,Clothing,248,136,50,36.03,Spring
02-01-2022,S003,P0009,Electronics,219,140,196,88.97,Spring
02-01-2022,S003,P0010,Furniture,146,79,155,16.48,Spring
02-01-2022,S003,P0011,Furniture,218,106,111,58.37,Autumn
02-01-2022,S003,P0012,Groceries,260,1,142,27.86,Winter
02-01-2022,S003,P0013,Electronics,414,203,53,39.14,Autumn
02-01-2022,S003,P0014,Toys,420,368,71,66.51,Spring
02-01-2022,S003,P0015,Electronics,435,286,159,89.65,Winter
02-01-2022,S003,P0016,Clothing,230,69,173,86.7,Spring
02-01-2022,S003,P0017,Toys,456,52,78,29.69,Summer
02-01-2022,S003,P0018,Toys,319,109,83,86.93,Winter
02-01-2022,S003,P0019,Furniture,59,50,135,59.33,Spring
02-01-2022,S003,P0020,Electronics,155,0,92,57.07,Summer
02-01-2022,S004,P0001,Electronics,144,22,45,74.16,Autumn
02-01-2022,S004,P0002,Electronics,283,45,156,59.38,Spring
02-01-2022,S004,P0003,Clothing,347,89,122,48.18,Spring
02-01-2022,S004,P0004,Groceries,410,209,128,94.75,Autumn
02-01-2022,S004,P0005,Toys,99,4,76,60.89,Autumn
02-01-2022,S004,P0006,Toys,97,47,138,14.71,Autumn
02-01-2022,S004,P0007,Furniture,339,115,95,33.09,Spring
02-01-2022,S004,P0008,Toys,144,27,119,98.75,Summer
02-01-2022,S004,P0009,Furniture,110,90,28,12.4,Autumn
02-01-2022,S004,P0010,Groceries,348,206,67,92.01,Autumn
02-01-2022,S004,P0011,Toys,458,328,144,92.12,Spring
02-01-2022,S004,P0012,Groceries,403,155,24,37.39,Spring
02-01-2022,S004,P0013,Clothing,198,184,161,85.35,Spring
02-01-2022,S004,P0014,Electronics,472,16,166,82.64,Autumn
02-01-2022,S004,P0015,Toys,178,90,79,92.19,Summer
02-01-2022,S004,P0016,Clothing,215,178,111,61.41,Spring
02-01-2022,S004,P0017,Electronics,477,256,150,96.47,Spring
02-01-2022,S004,P0018,Furniture,198,27,62,89.33,Spring
02-01-2022,S004,P0019,Groceries,110,67,83,59.49,Spring
02-01-2022,S004,P0020,Electronics,254,84,112,73.05,Autumn
02-01-2022,S005,P0001,Groceries,223,67,53,67.49,Winter
02-01-2022,S005,P0002,Furniture,100,15,114,66.05,Autumn
02-01-2022,S005,P0003,Toys,397,333,35,80.88,Winter
02-01-2022,S005,P0004,Groceries,442,56,38,60.5,Spring
02-01-2022,S005,P0005,Furniture,411,165,194,71.72,Autumn
02-01-2022,S005,P0006,Clothing,76,54,175,69.21,Summer
02-01-2022,S005,P0007,Clothing,257,93,148,70.69,Winter
02-01-2022,S005,P0008,Furniture,353,250,57,63.54,Summer
02-01-2022,S005,P0009,Electronics,119,90,76,78.08,Winter
02-01-2022,S005,P0010,Furniture,403,83,77,43.09,Spring
02-01-2022,S005,P0011,Electronics,60,16,149,25.67,Winter
02-01-2022,S005,P0012,Toys,182,87,121,38.59,Spring
02-01-2022,S005,P0013,Furniture,455,241,136,57.99,Spring
02-01-2022,S005,P0014,Toys,437,286,116,14.65,Winter
02-01-2022,S005,P0015,Clothing,289,60,83,63.26,Autumn
02-01-2022,S005,P0016,Groceries,487,437,106,43.64,Autumn
02-01-2022,S005,P0017,Toys,418,377,76,84.85,Summer
02-01-2022,S005,P0018,Clothing,89,83,113,47.05,Spring
02-01-2022,S005,P0019,Clothing,421,203,152,76.83,Spring
02-01-2022,S005,P0020,Clothing,211,183,189,93.95,Spring
03-01-2022,S001,P0001,Electronics,154,5,189,62.7,Winter
03-01-2022,S001,P0002,Clothing,282,199,70,54.02,Spring
03-01-2022,S001,P0003,Toys,183,176,124,26.03,Winter
